SpeciesID,all.biomass,OrganismType,NodeColor,NodeShape,NodeName,TrophicLevel,Description,ImageFile,Caption,ImageSource,ImageLiscence
210,0.9857072,Mammal,Orange/brown-13,Circle,Raccoon,5.687869822,"Racoons are medium-sized, nocturnal mammal. Nocturnal animals are chategorized by sleeping during the day and being active at night. Raccoons are considered to be very resilient animals.",raccoon.jpg,Raccoon sitting in tree.,Alexas_Fotos at pixabay,Free for commercial use
300,47981.15827,Plant,Bright Green-14,Circle,Plants,1,Plants are non-animal organisms that use photosynthesis to make their own food. They produce a large amount of the world's oxygen during photosynthesis. Plants play a large role in supporting food chains.,grasses.jpg,Grasses.,Nennieinszweidrei at pixabay,Free for commercial use
350,45684.9337,Ecosystem Service,Dark Pink-4,Square,Wave Attenuation,2,"Wave attenuation is the decrease in wave intensity. Plants and other aquatic structures (e.g., coral reefs) play a large role in taming waves and violent storms that could damage shorelines.",wave.jpg,Ocean waves.,Pexels at pixabay,Free for commercial use
400,NA,Microscopic Organisms,Black-1,Circle,Microscopic Organisms,4.459143421,"Microscopic organisms, or microbes, are tiny, single-celled organisms that cannot be seen with the naked eye. Microbes play an important role in nutrient cycling and there are more than 1 trillion different species, many of which have not yet been discovered. ",copepod.jpg,Copepod.,Jacabo Werther,Free to copy and adapt with credit
450,47509.3846,Ecosystem Service,Dark Pink-4,Square,Shoreline Protection,2,"Shoreline protection is the strengthening and stabilizing of coastal areas. Naturally, plants with deep roots can prevent erosion, enhancing shoreline protection.",saltmarsh.jpg,Saltmarsh.,Emphyrio at pixabay,Free for commercial use
500,1788.910924,Mollusc,Dark Teal-2,Circle,Molluscs,3.72957171,"Molluscs are invertebrate animals, meaning they do not have backbones. There are more than 85,000 species of molluscs today.",mussels.jpg,Many mussels underwater.,donieve at pixabay,Free for commercial use
550,49779.82555,Ecosystem Service,Dark Pink-4,Square,Carbon Storage,5.136526134,"Carbon storage (also known as carbon sequestration) is the process of capturing and storing carbon. Carbon can be stored in plants, soils and other organic materials.",carbon.jpg,Salt marsh with vehicle in the background.,jeanlouisservais at pixabay,Free for commercial use
600,18.03491695,Insect,Dark Purple-6,Circle,Insects,5.035502959,"Insects are invertebrate animals, meaning they do not have backbones. Insects are a class of arthropods with a hard external skeleton (known as the exoskeleton), a segmented body, and at least 3 pairs of legs. Some insects include ants, butterflies, mosquitoes and flies.",insect.jpg,Dragonfly on branch.,liggraphy at pixabay,Free for commercial use
650,47789.69028,Ecosystem Service,Dark Pink-4,Square,Water Filtration,3.364785855,Water filtration is the process of removing and reducing the number of particles suspended in water. This helps improve water clarity by reducing sediment loads.,filtration.jpg,Mussels filtering water.,zoosnow at pixabay,Free for commercial use
700,11.78583508,Plankton,Light Yellow-15,Circle,Plankton,3.802690899,Plankton are a diverse colletion of microscopic plants and animals that drift around in aquatic ecosystems. Phytoplankton is are tiny plants and Zooplankton are tiny animals that eat phytoplankton. Plankton form the base of aquatic food webs.,plankton.jpg,Microscopic image of plankton.,Fabianduran at pixabay,Free for commercial use
750,0.9714345,Ecosystem Service,Dark Pink-4,Square,Commercial Fishery,5.772048464,"Commercial fisheries are large-scale harvesting operations that target fish and other seafood for commercial profit. These fisheries do not occur in salt marshes. However, salt marshes and other coastal ecosystems like mangroves provide importance habitat and breeding grounds for many commercially important species.",comm-fish.jpg,Commercial fishing boat in a harbor.,PublicDomainPictures at pixabay,Free for commercial use
800,191.3924808,Crustacean,Teal-3,Circle,Crustaceans,4.605381798,"Crustaceans are invertebrate animals, meaning they do not have backbones. There are many different types of crustaceans, but they are generally categorixed by a hard exoskeleton, a segmented body and at least 4 pairs of jointed appendages (""legs"" and ""claws""). Crustaceans are vulnerable to over fishing, plastic pollution, habitat loss and ocean acidification. Ocean acidification occurs when there are changes in the chemical make up (specifically decreases in the pH due to increased carbon dioxide) of oceans, which can make it difficult for shell-builiding organisms to build their shells.",crab.jpg,Crab standing in sand.,pixabay,Free for commercial use
850,0.369631471,Ecosystem Service,Dark Pink-4,Circle,Birdwatching,5.914905607,"Birdwatching, or birding, is a type of wildlife viewing, where people track, look and listen for birds. This can be done for recreation and/or citizen science.",birdwatch.jpg,Binoculars on bird guide.,stevepb at pixabay,Free for commercial use
900,19.1147404,Fish,Blue-7,Circle,Fish,4.772048464,"Fish are gill-bearing organisms that live in aquatic ecosystems. There are more than 28,000 species, some of which are of critical importance to fisheries and wildlife viewing. They vary in their vulnerability to disturbances, but can be impacted greatly by overfishing and warming waters.",surfperch.jpg,"Shiner Surfperch, one species of fish.",David Stang,Free to copy and adapt with credit
950,0.8204547,Ecosystem Service,Dark Pink-4,Square,Waterfowl Hunting,5.914905607,"Waterfowl hunting is the activity of hunting ducks, geese or other water birds for fun and/or food.",wfowl-hunt.jpg,Dog carrying waterfowl in grass.,karisjo at pixabay,Free for commercial use
1000,3.173470346,Bird,Maroon-11,Circle,Birds,4.914905607,"Birds are vertebrates charactereized by feathers, a beak, and wings. There are more than 9,000 species of birds with a wide array of fascinating behaviors. Like fish, they vary in their vulnerability but are generally impacted by pollution and habitat loss.",birds.jpg,Flock of birds flying over water at sunset.,Slavicsly at Pixabay,Free for commercial use
1050,584.6903931,Ecosystem Service,Dark Pink-4,Square,Recreational Fishery,5.250810087,"Recreational fishing involves fishing for fun. This type of fishing can take place on small boats, on the shoreline, or on piers in salt marshes.",rec-fish.jpg,Fishing rod on pier over water.,aranha at pixabay,Free for commercial use
