"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",300,400,"Feeding"
"2",900,400,"Feeding"
"3",800,400,"Feeding"
"5",300,500,"Feeding"
"6",400,500,"Feeding"
"8",141,600,"Feeding"
"9",1000,600,"Feeding"
"10",148,600,"Feeding"
"11",151,600,"Feeding"
"12",168,600,"Feeding"
"13",169,600,"Feeding"
"14",170,600,"Feeding"
"15",183,600,"Feeding"
"16",187,600,"Feeding"
"17",190,600,"Feeding"
"18",201,600,"Feeding"
"19",202,600,"Feeding"
"20",207,600,"Feeding"
"21",210,600,"Feeding"
"22",118,600,"Feeding"
"23",900,600,"Feeding"
"24",300,600,"Feeding"
"25",300,700,"Feeding"
"27",700,600,"Feeding"
"28",300,800,"Feeding"
"29",400,800,"Feeding"
"30",500,800,"Feeding"
"31",700,800,"Feeding"
"32",600,800,"Feeding"
"34",400,900,"Feeding"
"35",700,900,"Feeding"
"36",800,900,"Feeding"
"38",300,118,"Feeding"
"39",400,118,"Feeding"
"40",500,118,"Feeding"
"41",700,118,"Feeding"
"42",500,900,"Feeding"
"43",600,900,"Feeding"
"44",400,120,"Feeding"
"45",700,120,"Feeding"
"46",300,900,"Feeding"
"47",120,900,"Feeding"
"48",400,125,"Feeding"
"49",500,125,"Feeding"
"50",700,125,"Feeding"
"51",800,125,"Feeding"
"52",900,125,"Feeding"
"53",120,125,"Feeding"
"54",400,132,"Feeding"
"55",700,132,"Feeding"
"56",800,132,"Feeding"
"57",900,132,"Feeding"
"58",120,132,"Feeding"
"59",125,132,"Feeding"
"61",400,139,"Feeding"
"62",500,139,"Feeding"
"63",800,139,"Feeding"
"64",118,139,"Feeding"
"65",900,139,"Feeding"
"66",120,139,"Feeding"
"67",125,139,"Feeding"
"68",132,139,"Feeding"
"69",700,139,"Feeding"
"70",400,141,"Feeding"
"71",500,141,"Feeding"
"72",600,141,"Feeding"
"73",900,141,"Feeding"
"74",300,1000,"Feeding"
"75",500,1000,"Feeding"
"76",700,1000,"Feeding"
"77",400,1000,"Feeding"
"78",800,1000,"Feeding"
"79",118,1000,"Feeding"
"80",600,1000,"Feeding"
"81",900,1000,"Feeding"
"82",120,1000,"Feeding"
"83",125,1000,"Feeding"
"84",132,1000,"Feeding"
"85",118,148,"Feeding"
"86",120,148,"Feeding"
"87",900,148,"Feeding"
"88",400,151,"Feeding"
"89",500,151,"Feeding"
"90",800,151,"Feeding"
"91",118,151,"Feeding"
"93",201,1000,"Feeding"
"94",207,1000,"Feeding"
"95",900,168,"Feeding"
"96",118,168,"Feeding"
"97",120,168,"Feeding"
"98",125,168,"Feeding"
"99",132,168,"Feeding"
"100",900,169,"Feeding"
"101",118,169,"Feeding"
"102",120,169,"Feeding"
"103",125,169,"Feeding"
"104",132,169,"Feeding"
"105",118,170,"Feeding"
"106",900,170,"Feeding"
"107",120,170,"Feeding"
"108",400,183,"Feeding"
"109",500,183,"Feeding"
"110",800,183,"Feeding"
"111",118,183,"Feeding"
"112",400,187,"Feeding"
"113",700,187,"Feeding"
"114",800,187,"Feeding"
"115",900,187,"Feeding"
"116",118,187,"Feeding"
"117",120,187,"Feeding"
"118",125,187,"Feeding"
"119",132,187,"Feeding"
"120",900,190,"Feeding"
"121",118,190,"Feeding"
"122",120,190,"Feeding"
"123",125,190,"Feeding"
"124",132,190,"Feeding"
"125",400,201,"Feeding"
"126",500,201,"Feeding"
"127",600,201,"Feeding"
"128",800,201,"Feeding"
"129",400,202,"Feeding"
"130",500,202,"Feeding"
"131",700,202,"Feeding"
"132",800,202,"Feeding"
"133",300,207,"Feeding"
"134",400,207,"Feeding"
"135",500,207,"Feeding"
"136",600,207,"Feeding"
"137",800,207,"Feeding"
"138",400,210,"Feeding"
"139",800,210,"Feeding"
"140",118,210,"Feeding"
"141",1000,210,"Feeding"
"142",800,700,"Feeding"
"144",300,350,"ES"
"145",300,450,"ES"
"146",300,650,"ES"
"147",500,650,"ES"
"148",300,550,"ES"
"149",400,550,"ES"
"150",500,550,"ES"
"151",700,550,"ES"
"152",600,550,"ES"
"153",800,550,"ES"
"154",900,550,"ES"
"155",118,550,"ES"
"156",120,550,"ES"
"157",125,550,"ES"
"158",132,550,"ES"
"159",139,550,"ES"
"160",210,550,"ES"
"161",118,1050,"ES"
"162",120,750,"ES"
"163",900,750,"ES"
"164",125,1050,"ES"
"165",900,1050,"ES"
"166",132,750,"ES"
"167",139,1050,"ES"
"168",500,1050,"ES"
"169",1000,950,"ES"
"170",1000,850,"ES"
"171",151,850,"ES"
"172",183,850,"ES"
"173",148,850,"ES"
"174",202,850,"ES"
"175",190,850,"ES"
"176",187,850,"ES"
"177",141,850,"ES"
"178",120,1050,"ES"
"179",132,1050,"ES"
