SpeciesID,all.biomass,OrganismType,NodeColor,NodeShape,NodeName,TrophicLevel,Description,ImageFile,Caption,ImageSource,ImageLiscence
118,4.5752376,Fish,Blue-7,Circle,Topsmelt,4.430684945,"Topsmelt is a small fish species found in bays and estuaries, among other coastal ecosystems. This species is targeted by commercial fisheries but is considered to have a stable population size.",topsmelt.png,Topsmelt Silverside on towel.,Theo Modder,Free to copy and adapt with credit
120,0.0449312,Fish,Blue-7,Circle,Shiner Surfperch,5.410529209,"Shiner surfperch are non-migratory fish that live in marine and brackish (slightly salty, occuring where salt and fresh water meet) waters. There are small commercial fisheries that target this species, and it is occasionally used as bait by recreational fishers. This species is vulnerable to habitat loss.",surfperch.jpg,Shiner Surfperch swimming.,David Stang,Free to copy and adapt with credit
125,0.2618094,Fish,Blue-7,Circle,Diamond Turbot,5.757226194,"Diamond Turbot is a type of flatfish that occurs in coastal and brackish waters, living on muddy and sandy bottoms. They are not commercially targeted, but some recreational fishers may target this specices. It is not considered to be vulnerable. ",turbot.jpg,Windowpane flounder laying on table. Similar species to Diamond turbot.,Matthieu Godbout (assumed based on copyright),Free to copy and adapt with credit
132,0.1536856,Fish,Blue-7,Circle,California Halibut,6.066483666,California Halibut is a large species of flatfish that lives on the Pacific Coast of the United States. This species is targeted by both commercial and recreational fisheries. It is considered to be vulnerable to the loss of critical nursery habitat.,halibut.jpg,Three men standing next two many of the California Halibut that they caught.,Kolmkolm,Free to copy and adapt with credit
139,0.0863925,Fish,Blue-7,Circle,Leopard Shark,5.977527996,"Leopard sharks are a small species of shark that lives in shallow waters in the Pacific Coast of the United States. It is targeted by both commercial and recreational fisheries, and is susceptible to overfishing.",leo-shark.jpg,Leopard shark in sand.,Clark Anderson,Free to copy and adapt with credit
141,0.0151609,Bird,Maroon-11,Circle,American Avocet,6.133489506,"The American Avocet is a migrating bird that occurs in the Western half of the United States. This bird is generally stable but is vulnerable to climate change impacts, especially in their salt marsh habitats.",avocet.jpg,Two American Avocets standing in water.,Raymond M. Coveney,Free to copy and adapt with credit
148,0.0036769,Bird,Maroon-11,Circle,Belted Kingfisher,6.071970314,"Belted Kingfishers are common, migrating birds that occur across North America. Recent surveys indicate a decline in population, as these birds tend to be vulnerable to habitat loss and climate change.",kingfisher.jpg,Belted Kingfisher sitting on tree branch above water. ,JudaM at pixabay,Free for commercial use
151,0.0007309,Bird,Maroon-11,Circle,Bonaparte's Gull,5.542780104,"The Bonaparte's Gull is the smallest gull to occur in North America and migrates from Canada to coastal United States in the winter. While it is vulnerable to climate change and increased temperatures, it is less vulnerable to other human-related disturbances.",bonaparte.jpg,Bonaparte's Gull standing on branch.,tdfugere at Pixabay,Free for commercial use
168,0.2673797,Bird,Maroon-11,Circle,Great Blue Heron,6.40792416,"Great Blue Herons are large, common water birds and are considered to be highly adaptable. They will likely not be negatively affected by climate change.",heron.jpg,Great Blue Heron flying over water.,PublicDomainImages at pixabay,Free for commercial use
169,0.0701152,Bird,Maroon-11,Circle,Great Egret,6.40792416,"Great Egrets are a tall, water bird that is generally not vulnerable to climate change. This bird has a wide range that spans the Southern pacific and Southern Atlantic coasts of the United States.",egret.jpg,Great Egret flying.,sschema at pixabay,Free for commercial use
170,0.0075045,Bird,Maroon-11,Circle,Green Heron,6.071970314,The Green Heron is smaller than the Great Blue Heron but will also likely not be impacted negatively by climate change.,green-heron.jpg,Green Heron standing on rock.,zoosnow at pixabay,Free for commercial use
183,0.273488671,Bird,Maroon-11,Circle,Mew Gull,5.542780104,"The Mew Gull, also known as the Common Gull, is a medium-sized, migrating water bird that is common along the Pacific Coast and in Alaska and Northern Canada. Like many other birds, the Mew Gull is vulnerable to pollution.",gull.jpg,Mew Gull standing near water.,PublicDomainPictures at pixabay,Free for commercial use
187,0.0198625,Bird,Maroon-11,Circle,Pied-billed Grebe,6.112008826,"The Pied-billed Grebe is a common and widespread bird. While there have been declines in this species in the last few decades, it is generally not vulnerable to disturbances.",pied-grebe.jpg,Pied-billed Grebe swimming in water.,Alan Vernon,Free to copy and adapt with credit
190,0.0518401,Bird,Maroon-11,Circle,Red-breasted Merganser,6.40792416,The Red-breasted Merganser is a species of duck found in coastal United States and the Great Lakes Region. This species may lose about 30% of its range due to climate change.,merganser.jpg,Red-breasted Merganser swimming in water.,Pixabay,Free for commercial use
201,0.0003662,Bird,Maroon-11,Circle,Spotted Sandpiper,6.048663155,"The Spotted Sandpiper is a comon and widespread bird. It is generally not threatened, however it is vulnerable to habitat loss.",spot-sandpiper.jpeg,Two Spotted Sandpipers standing in water.,sarangib at pixabay,Free for commercial use
202,0.0026295,Bird,Maroon-11,Circle,Surf Scoter,5.439532791,"The Surf Scoter is a species of duck that migrates to the Pacific coast of the United States, where it is vulnerable to oil spills and other pollution.",surf-scoter,Two Surf Scoters swimming in water.,Omar Runolfsson,Free to copy and adapt with credit
207,0.0001507,Bird,Maroon-11,Circle,Western Sandpiper,5.238930524,The Western Sandpiper is the smallest species of sandpipers and is unlikely to be significantly impacted by climate change.,west-sandpiper.jpg,Western Sandpiper standing on branches above water.,Ron Knight,Free to copy and adapt with credit
210,0.9857072,Mammal,Orange/brown-13,Circle,Raccoon,6.039274433,"Racoons are medium-sized, nocturnal mammal. Nocturnal animals are chategorized by sleeping during the day and being active at night. Raccoons are considered to be very resilient animals.",raccoon.jpg,Raccoon sitting in tree.,Alexas_Fotos at pixabay,Free for commercial use
300,47981.15827,Plant,Bright Green-14,Circle,Plants,1,Plants are non-animal organisms that use photosynthesis to make their own food. They produce a large amount of the world's oxygen during photosynthesis. Plants play a large role in supporting food chains.,grasses.jpg,Grasses.,Nennieinszweidrei at pixabay,Free for commercial use
350,45684.9337,Ecosystem Service,Dark Pink-4,Square,Wave Attenuation,2,"Wave attenuation is the decrease in wave intensity. Plants and other aquatic structures (e.g., coral reefs) play a large role in taming waves and violent storms that could damage shorelines.",wave.jpg,Ocean waves.,Pexels at pixabay,Free for commercial use
400,NA,Microscopic Organism,Black-1,Circle,Microscopic Organism,4.803362725,"Microscopic organisms, or microbes, are tiny, single-celled organisms that cannot be seen with the naked eye. Microbes play an important role in nutrient cycling and there are more than 1 trillion different species, many of which have not yet been discovered. ",copepod.jpg,Copepod.,Jacabo Werther,Free to copy and adapt with credit
450,47509.3846,Ecosystem Service,Dark Pink-4,Square,Shoreline Protection,2,"Shoreline protection is the strengthening and stabilizing of coastal areas. Naturally, plants with deep roots can prevent erosion, enhancing shoreline protection.",saltmarsh.jpg,Saltmarsh.,Emphyrio at pixabay,Free for commercial use
